order_id,customer_id,city,states,region,segment,category,subcategory,product_id,product_name,sales,profit,returned
CA-2014-143336,ZD-21925,San Francisco,California,West,Consumer,Office Supplies,Art,OFF-AR-10003056,Newell 341,8.56,2.4824,Yes
CA-2014-143336,ZD-21925,San Francisco,California,West,Consumer,Technology,Phones,TEC-PH-10001949,Cisco SPA 501G IP Phone,213.48,16.011,Yes
CA-2014-143336,ZD-21925,San Francisco,California,West,Consumer,Office Supplies,Binders,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",22.72,7.384,Yes
CA-2016-111682,TB-21055,Troy,New York,East,Consumer,Office Supplies,Storage,OFF-ST-10000604,Home/Office Personal File Carts,208.56,52.14,Yes
CA-2016-111682,TB-21055,Troy,New York,East,Consumer,Office Supplies,Paper,OFF-PA-10001569,Xerox 232,32.4,15.552,Yes
CA-2016-111682,TB-21055,Troy,New York,East,Consumer,Furniture,Chairs,FUR-CH-10003968,Novimex Turbo Task Chair,319.41,7.098,Yes
CA-2016-111682,TB-21055,Troy,New York,East,Consumer,Office Supplies,Paper,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",14.56,6.9888,Yes
CA-2016-111682,TB-21055,Troy,New York,East,Consumer,Technology,Accessories,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,3.3,Yes
CA-2016-111682,TB-21055,Troy,New York,East,Consumer,Office Supplies,Binders,OFF-BI-10001460,Plastic Binding Combs,48.48,16.362,Yes
CA-2016-111682,TB-21055,Troy,New York,East,Consumer,Office Supplies,Art,OFF-AR-10001868,Prang Dustless Chalk Sticks,1.68,0.84,Yes
CA-2016-109806,JS-15685,Los Angeles,California,West,Corporate,Office Supplies,Art,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,20.1,6.633,Yes
CA-2016-109806,JS-15685,Los Angeles,California,West,Corporate,Technology,Phones,TEC-PH-10004093,Panasonic Kx-TS550,73.584,8.2782,Yes
CA-2016-109806,JS-15685,Los Angeles,California,West,Corporate,Office Supplies,Paper,OFF-PA-10000304,Xerox 1995,6.48,3.1104,Yes
CA-2016-145583,LC-16885,Roseville,California,West,Consumer,Office Supplies,Paper,OFF-PA-10001804,Xerox 195,20.04,9.6192,Yes
CA-2016-145583,LC-16885,Roseville,California,West,Consumer,Office Supplies,Paper,OFF-PA-10001736,Xerox 1880,35.44,16.6568,Yes
CA-2016-145583,LC-16885,Roseville,California,West,Consumer,Office Supplies,Art,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",11.52,3.456,Yes
CA-2016-145583,LC-16885,Roseville,California,West,Consumer,Office Supplies,Fasteners,OFF-FA-10002988,Ideal Clamps,4.02,1.9698,Yes
CA-2016-145583,LC-16885,Roseville,California,West,Consumer,Office Supplies,Binders,OFF-BI-10004781,GBC Wire Binding Strips,76.176,26.6616,Yes
CA-2016-145583,LC-16885,Roseville,California,West,Consumer,Office Supplies,Supplies,OFF-SU-10001218,Fiskars Softgrip Scissors,65.88,18.4464,Yes
CA-2016-145583,LC-16885,Roseville,California,West,Consumer,Furniture,Furnishings,FUR-FU-10001706,Longer-Life Soft White Bulbs,43.12,20.6976,Yes
CA-2014-133690,BS-11755,Denver,Colorado,West,Consumer,Furniture,Tables,FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,-161.875,Yes
CA-2014-133690,BS-11755,Denver,Colorado,West,Consumer,Office Supplies,Appliances,OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,0.2925,Yes
CA-2015-146262,VW-21775,Medina,Ohio,East,Corporate,Office Supplies,Labels,OFF-LA-10004544,Avery 505,23.68,8.88,Yes
CA-2015-146262,VW-21775,Medina,Ohio,East,Corporate,Furniture,Bookcases,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,-244.323,Yes
CA-2015-146262,VW-21775,Medina,Ohio,East,Corporate,Technology,Phones,TEC-PH-10002844,Speck Products Candyshell Flip Case,62.982,-14.6958,Yes
CA-2015-146262,VW-21775,Medina,Ohio,East,Corporate,Technology,Machines,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,1188,-950.4,Yes
CA-2015-146262,VW-21775,Medina,Ohio,East,Corporate,Technology,Accessories,TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,4.4792,Yes
CA-2015-169397,JB-15925,Dublin,Ohio,East,Consumer,Office Supplies,Fasteners,OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,5.584,1.8148,Yes
CA-2015-169397,JB-15925,Dublin,Ohio,East,Consumer,Office Supplies,Paper,OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704,8.2302,Yes
CA-2015-169397,JB-15925,Dublin,Ohio,East,Consumer,Office Supplies,Binders,OFF-BI-10002852,Ibico Standard Transparent Covers,19.776,-13.8432,Yes
CA-2015-169397,JB-15925,Dublin,Ohio,East,Consumer,Furniture,Furnishings,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704,19.0848,Yes
CA-2015-169397,JB-15925,Dublin,Ohio,East,Consumer,Technology,Machines,TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,479.988,-383.9904,Yes
