address,lat,lon
Henderson Kentucky,37.76721,-87.5573742
Los Angeles California,34.0536909,-118.242766
Fort Lauderdale Florida,26.1223084,-80.1433786
Concord North Carolina,35.4094178,-80.5800049
Seattle Washington,47.6038321,-122.330062
Fort Worth Texas,32.753177,-97.3327459
Madison Wisconsin,-37.8130896,-72.6744916
West Jordan Utah,40.6061337,-111.9395211
San Francisco California,37.7790262,-122.419906
Fremont Nebraska,41.4338363,-96.4960449
Philadelphia Pennsylvania,39.9527237,-75.1635262
Orem Utah,40.2981599,-111.6944313
Houston Texas,29.7589382,-95.3676974
Richardson Texas,32.9481789,-96.7297206
Naperville Illinois,41.7728699,-88.1479278
Melbourne Florida,28.106471,-80.6371513
Eagan Minnesota,44.818173,-93.1659179
Westland Michigan,42.3238056,-83.4005321
Dover Delaware,39.158168,-75.5243682
New Albany Indiana,38.2856247,-85.8241312
New York City New York,40.7830439,-73.9527658
Troy New York,42.7284117,-73.6917878
Chicago Illinois,41.8755616,-87.6244212
Gilbert Arizona,33.3527632,-111.7890373
Springfield Virginia,38.7767435,-77.18070193
Jackson Michigan,42.2416466,-84.425589
Memphis Tennessee,35.1335022,-89.9668758
Decatur Alabama,34.6240205,-87.05791873
Durham North Carolina,35.996653,-78.9018053
Columbia South Carolina,38.88974405,-77.04086076
Rochester Minnesota,44.0234387,-92.4630182
Minneapolis Minnesota,44.9772995,-93.2654692
Portland Oregon,45.5202471,-122.674194
Saint Paul Minnesota,44.9497487,-93.0931028
Aurora Colorado,39.7405111,-104.8309947
Charlotte North Carolina,35.2272086,-80.8430827
Orland Park Illinois,41.630663,-87.8536288
Urbandale Iowa,41.6274511,-93.7380243
Columbus Ohio,39.9622601,-83.0007065
Bristol Tennessee,36.5945034,-82.1885212
Wilmington Delaware,39.7459468,-75.546589
Bloomington Illinois,40.4797828,-88.9939147
Phoenix Arizona,33.4484367,-112.074141
Roseville California,38.7521235,-121.2880059
Independence Missouri,39.0924792,-94.4137923
Pasadena California,34.1476452,-118.1444779
Newark Ohio,40.0581205,-82.4012643
Franklin Wisconsin,42.888627,-88.0384195
Scottsdale Arizona,33.4942189,-111.9260184
San Jose California,37.3361663,-121.890591
Edmond Oklahoma,35.6571367,-97.4649038
Carlsbad New Mexico,32.4257456,-104.237612
San Antonio Texas,29.4246002,-98.4951405
Decatur Illinois,39.8454163,-88.9524151
Monroe Louisiana,32.5102427,-92.1032411
Fairfield Connecticut,41.2943069,-73.37486
Grand Prairie Texas,32.7459645,-96.9977846
Redlands California,34.0550328,-117.1827445
Hamilton Ohio,39.2085354,-84.5501874
Westfield New Jersey,40.6589912,-74.3473717
Akron Ohio,41.083064,-81.518485
Denver Colorado,39.7392364,-104.984862
Dallas Texas,-23.6475942,-46.5101346
Franklin Tennessee,35.925206,-86.8689419
Whittier California,33.9708782,-118.030839
Saginaw Michigan,43.4200387,-83.9490365
Medina Ohio,41.1000764,-81.9382517
Dublin Ohio,40.0992294,-83.1140771
Detroit Michigan,42.3315509,-83.0466403
Columbia Tennessee,35.6150716,-87.0352831
Tampa Florida,27.9477595,-82.458444
Santa Clara California,37.2333253,-121.6846349
Lakeville Minnesota,44.650051,-93.2432791
San Diego California,32.7174202,-117.1627728
Pasadena Texas,29.6910753,-95.2092076
Brentwood California,37.9317766,-121.696026
Chapel Hill North Carolina,35.9131542,-79.05578
Morristown New Jersey,40.7992398,-74.47743585
Cincinnati Ohio,39.1014537,-84.5124602
Inglewood California,33.9562003,-118.353132
Tamarac Florida,26.2128609,-80.2497707
Colorado Springs Colorado,38.8339578,-104.825348
Belleville New Jersey,40.7937116,-74.1501438
Taylor Michigan,42.240872,-83.2696509
Lakewood New Jersey,40.092024,-74.21219646
Arlington Virginia,38.8769326,-77.0893094
Arvada Colorado,39.8005505,-105.0811573
Hackensack New Jersey,40.8871438,-74.0410865
Saint Petersburg Florida,27.7703796,-82.6695085
Long Beach California,33.7690164,-118.191604
Hesperia California,34.4263886,-117.3008784
Murfreesboro Tennessee,35.8460396,-86.3921096
Layton Utah,41.0751048,-111.9741925
Austin Texas,30.2711286,-97.7436995
Lowell Massachusetts,42.6334247,-71.3161718
Columbus Georgia,32.4610708,-84.9880449
Manchester Connecticut,41.7813269,-72.53047449
Harlingen Texas,26.1907543,-97.6960599
Tucson Arizona,32.2228765,-110.9748477
Quincy Illinois,39.9356016,-91.4098727
Franklin Massachusetts,42.5896205,-72.6110645
Pembroke Pines Florida,26.0031465,-80.223937
Des Moines Washington,47.398829,-122.3099093
Peoria Illinois,40.6938609,-89.5891008
Las Vegas Nevada,36.1672559,-115.148516
Warwick Rhode Island,41.7002024,-71.4161108
Miami Florida,25.7741728,-80.19362
Wilmington North Carolina,34.2257282,-77.9447107
Huntington Beach California,33.6783336,-118.0000166
Richmond Kentucky,37.7478572,-84.2946539
Louisville Colorado,39.977763,-105.1319296
Lawrence Massachusetts,42.7070354,-71.1631137
Jackson Mississippi,32.3086744,-90.1983063
Canton Michigan,42.3076547,-83.4868961
New Rochelle New York,40.9115386,-73.7826363
Gastonia North Carolina,35.2622654,-81.1838186
Jacksonville Florida,30.3321838,-81.655651
Columbus Indiana,39.2014405,-85.9213796
Auburn New York,42.9320202,-76.5672029
Norman Oklahoma,35.2225717,-97.4394816
Concord California,37.9768525,-122.0335624
Park Ridge Illinois,42.0112329,-87.8406031
Amarillo Texas,35.2072185,-101.833824
Lindenhurst New York,40.6867667,-73.3734547
Huntsville Texas,30.7235263,-95.5507771
Rochester New York,43.157285,-77.615214
Fayetteville Arkansas,36.0625843,-94.1574328
Costa Mesa California,33.6633386,-117.903317
Parker Colorado,39.5184514,-104.7612638
Atlanta Georgia,33.7489924,-84.3902644
Gladstone Missouri,39.2214765,-94.5719748
Great Falls Montana,47.5048851,-111.29189
Lakeland Florida,28.0394654,-81.9498042
Montgomery Alabama,32.3669656,-86.3006485
Mesa Arizona,33.4151117,-111.8314792
Green Bay Wisconsin,44.5126379,-88.0125794
Springfield Ohio,39.9234046,-83.810138
Anaheim California,33.8347516,-117.911732
Marysville Washington,48.0517429,-122.1768209
Salem Oregon,44.9391565,-123.033121
Laredo Texas,16.6310622,-93.104496
Grove City Ohio,39.8814519,-83.0929645
Dearborn Michigan,42.3222599,-83.1763145
Warner Robins Georgia,32.6200973,-83.606568
Vallejo California,38.1040864,-122.2566367
Mission Viejo California,33.5965685,-117.659405
Rochester Hills Michigan,42.6583661,-83.1499322
Plainfield New Jersey,40.6337136,-74.4073737
Sierra Vista Arizona,31.5545973,-110.2997756
Vancouver Washington,45.6306954,-122.6744557
Aurora Illinois,41.7571701,-88.3147539
Arlington Texas,32.7355816,-97.1071186
Louisville Kentucky,38.2542376,-85.759407
Cleveland Ohio,41.4996574,-81.6936772
Tyler Texas,32.3512601,-95.3010624
Burlington North Carolina,36.0956918,-79.4377991
Waynesboro Virginia,38.0686668,-78.8893999
Chester Pennsylvania,39.9829308,-75.7652424
Cary North Carolina,35.7882893,-78.7812081
Palm Coast Florida,29.5541432,-81.2207673
Mount Vernon New York,40.9125085,-73.8386504
Hialeah Florida,25.8575963,-80.2781057
Oceanside New York,40.6390936,-73.6399765
Evanston Illinois,42.0447388,-87.6930459
Trenton Michigan,42.1406552,-83.1800544
Cottage Grove Minnesota,44.8277446,-92.9438218
Bossier City Louisiana,32.5369356,-93.6952689
Des Moines Iowa,41.5910323,-93.6046655
Lancaster California,34.6981064,-118.1366153
Richmond Virginia,37.5385087,-77.43428
Asheville North Carolina,35.6009498,-82.5540161
Lake Elsinore California,33.6680772,-117.3272615
Omaha Nebraska,41.2587459,-95.9383758
Edmonds Washington,47.8105738,-122.3774952
Santa Ana California,33.7494951,-117.8732213
Milwaukee Wisconsin,43.0349931,-87.922497
Florence Kentucky,38.9989499,-84.6266111
Lorain Ohio,41.4673238,-82.1781904
Linden New Jersey,40.6220478,-74.2445902
Salinas California,36.6744117,-121.6550372
New Brunswick New Jersey,40.4862174,-74.4518173
Lancaster Pennsylvania,40.03813,-76.3056686
Concord New Hampshire,43.207178,-71.537476
Columbia Maryland,39.1938429,-76.86460919
Garland Texas,32.912624,-96.6388833
Norwich Connecticut,41.5243537,-72.0759008
Alexandria Virginia,38.8051095,-77.0470229
Toledo Ohio,41.6529143,-83.5378173
Farmington New Mexico,36.7291152,-108.205445
Riverside California,33.9533546,-117.3961623
Torrance California,33.8358492,-118.3406288
Round Rock Texas,30.5085915,-97.6788056
Oceanside California,33.1958696,-117.3794834
Boca Raton Florida,26.3586885,-80.0830984
Virginia Beach Virginia,36.8529841,-75.9774183
Murrieta California,33.560832,-117.2106564
Jacksonville North Carolina,34.7494749,-77.4208221
Burlington Iowa,40.8126922,-91.1020205
Olympia Washington,47.0451022,-122.8950075
Washington District of Columbia,38.8950368,-77.0365427
Jefferson City Missouri,38.577359,-92.1724265
Saint Peters Missouri,38.791612,-90.5958468
Rockford Illinois,42.2713945,-89.093966
Brownsville Texas,25.9140277,-97.4890879
Yonkers New York,40.9312099,-73.8987469
Oakland California,37.8044557,-122.271356
Monroe North Carolina,34.9854275,-80.5495112
Clinton Maryland,38.7522607,-76.8969155
