Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class
24,US-2017-156909,2017-07-16,2017-07-18,Second Class
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class
36,CA-2016-117590,2016-12-08,2016-12-10,First Class
37,CA-2016-117590,2016-12-08,2016-12-10,First Class
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class
45,CA-2016-118255,2016-03-11,2016-03-13,First Class
46,CA-2016-118255,2016-03-11,2016-03-13,First Class
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class
56,CA-2016-111682,2016-06-17,2016-06-18,First Class
57,CA-2016-111682,2016-06-17,2016-06-18,First Class
58,CA-2016-111682,2016-06-17,2016-06-18,First Class
59,CA-2016-111682,2016-06-17,2016-06-18,First Class
60,CA-2016-111682,2016-06-17,2016-06-18,First Class
61,CA-2016-111682,2016-06-17,2016-06-18,First Class
62,CA-2016-111682,2016-06-17,2016-06-18,First Class
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class
70,CA-2016-119823,2016-06-04,2016-06-06,First Class
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class
73,US-2015-134026,2015-04-26,2015-05-02,Standard Class
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class
